GEO_ID,NAME,POP
1600000US0120152,"Deer Park CDP, Alabama",73
1600000US0120272,"Delta CDP, Alabama",233
1600000US0120296,"Demopolis city, Alabama",7010
1600000US0120392,"Detroit town, Alabama",230
1600000US0120955,"Dodge City town, Alabama",549
1600000US0121136,"Dora city, Alabama",2617
1600000US0121184,"Dothan city, Alabama",71118
1600000US0121280,"Double Springs town, Alabama",1188
1600000US0121328,"Douglas town, Alabama",1153
1600000US0121448,"Dozier town, Alabama",410
1600000US0121890,"Dunnavant CDP, Alabama",1010
1600000US0121952,"Dutton town, Alabama",409
1600000US0122088,"Eagle Point CDP, Alabama",2929
1600000US0122216,"East Brewton city, Alabama",3325
1600000US0122504,"East Point CDP, Alabama",447
1600000US0122816,"Eclectic town, Alabama",1201
1600000US0123032,"Edgewater CDP, Alabama",694
1600000US0123176,"Edwardsville town, Alabama",243
1600000US0123224,"Egypt CDP, Alabama",1039
1600000US0123296,"Elba city, Alabama",3459
1600000US0123320,"Elberta town, Alabama",2209
1600000US0123344,"Eldridge town, Alabama",96
1600000US0123488,"Elkmont town, Alabama",327
1600000US0123656,"Elmore town, Alabama",1482
1600000US0123872,"Emelle town, Alabama",39
1600000US0123880,"Emerald Mountain CDP, Alabama",3387
1600000US0124184,"Enterprise city, Alabama",28990
1600000US0124256,"Epes town, Alabama",361
1600000US0124280,"Equality CDP, Alabama",139
1600000US0124472,"Ethelsville town, Alabama",86
1600000US0124568,"Eufaula city, Alabama",12664
1600000US0124616,"Eunola CDP, Alabama",164
1600000US0124664,"Eutaw town, Alabama",2864
1600000US0124688,"Eva town, Alabama",692
1600000US0124808,"Evergreen city, Alabama",3442
1600000US0124880,"Excel town, Alabama",504
1600000US0125120,"Fairfield city, Alabama",9846
1600000US0125216,"Fairford CDP, Alabama",155
1600000US0125240,"Fairhope city, Alabama",23360
1600000US0125384,"Fairview town, Alabama",681
1600000US0125648,"Falkville town, Alabama",1464
1600000US0125816,"Faunsdale town, Alabama",180
1600000US0125840,"Fayette city, Alabama",4221
1600000US0125864,"Fayetteville CDP, Alabama",1135
1600000US0126152,"Fitzpatrick CDP, Alabama",0
1600000US0126200,"Five Points town, Alabama",162
1600000US0126824,"Flomaton town, Alabama",1675
1600000US0126848,"Florala town, Alabama",1841
1600000US0126896,"Florence city, Alabama",41231
1600000US0126992,"Foley city, Alabama",22330
1600000US0127088,"Forestdale CDP, Alabama",9149
1600000US0127376,"Forkland town, Alabama",716
1600000US0127520,"Fort Deposit town, Alabama",1560
1600000US0127616,"Fort Payne city, Alabama",14886
1600000US0127640,"Fort Rucker CDP, Alabama",5221
1600000US0128024,"Franklin town, Alabama",899
1600000US0128120,"Fredonia CDP, Alabama",246
1600000US0128312,"Frisco City town, Alabama",1657
1600000US0128408,"Fruitdale CDP, Alabama",56
1600000US0128432,"Fruithurst town, Alabama",528
1600000US0128504,"Fulton town, Alabama",417
1600000US0128552,"Fultondale city, Alabama",9753
1600000US0128672,"Fyffe town, Alabama",1250
1600000US0128696,"Gadsden city, Alabama",33617
1600000US0128768,"Gainesville town, Alabama",266
1600000US0128816,"Gallant CDP, Alabama",1215
1600000US0128936,"Gantt town, Alabama",198
1600000US0129032,"Garden City town, Alabama",572
1600000US0129056,"Gardendale city, Alabama",16110
1600000US0129296,"Gaylesville town, Alabama",120
1600000US0129392,"Geiger town, Alabama",271
1600000US0129464,"Geneva city, Alabama",4227
1600000US0129560,"Georgiana town, Alabama",1432
1600000US0129608,"Geraldine town, Alabama",1340
1600000US0129704,"Gilbertown town, Alabama",772
1600000US0129944,"Glen Allen town, Alabama",406
1600000US0129992,"Glencoe city, Alabama",5356
1600000US0130160,"Glenwood town, Alabama",180
1600000US0130448,"Goldville town, Alabama",83
1600000US0130496,"Good Hope city, Alabama",2542
1600000US0130640,"Goodwater town, Alabama",1375
1600000US0130736,"Gordo town, Alabama",1435
1600000US0130760,"Gordon town, Alabama",382
1600000US0130808,"Gordonville town, Alabama",311
1600000US0130880,"Goshen town, Alabama",378
1600000US0131000,"Graham CDP, Alabama",63
1600000US0131024,"Grand Bay CDP, Alabama",3765
1600000US0131096,"Grant town, Alabama",1410
1600000US0131348,"Grayson Valley CDP, Alabama",5882
1600000US0131384,"Graysville city, Alabama",2600
1600000US0131720,"Greensboro city, Alabama",2390
1600000US0131912,"Greenville city, Alabama",7229
1600000US0132056,"Grimes town, Alabama",515
1600000US0132080,"Grove Hill town, Alabama",1940
1600000US0132224,"Guin city, Alabama",2469
1600000US0132248,"Gulfcrest CDP, Alabama",105
1600000US0132272,"Gulf Shores city, Alabama",15785
1600000US0132416,"Guntersville city, Alabama",8771
1600000US0132440,"Gurley town, Alabama",543
1600000US0132536,"Gu-Win town, Alabama",130
1600000US0132560,"Hackleburg town, Alabama",1642
1600000US0132584,"Hackneyville CDP, Alabama",519
1600000US0132656,"Haleburg town, Alabama",145
1600000US0132704,"Haleyville city, Alabama",4283
1600000US0132848,"Hamilton city, Alabama",6907
1600000US0132896,"Hammondville town, Alabama",330
1600000US0132968,"Hanceville city, Alabama",3255
1600000US0133064,"Hanover CDP, Alabama",163
1600000US0133256,"Harpersville town, Alabama",1649
1600000US0133424,"Hartford city, Alabama",2677
1600000US0133448,"Hartselle city, Alabama",15586
1600000US0133472,"Harvest CDP, Alabama",6624
