ORIG_FID,STATION_ID,LONGNAME,LINES,ADA,PKNRD,GEOID20,ALAND20,POP20,NEAR_FID
84,420,Cicero-Douglas,Pink,1,0,170318138023001,19458,134,112
85,1510,Morgan,"Green (Lake), Pink",1,0,170310106001001,1795,0,43
86,1680,Oakton-Skokie,Yellow Line,1,0,170318094012014,6193,0,53
87,1690,Cermak-McCormick Place,Green Line,1,0,170310815001004,10056,0,90
88,1700,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",1,0,170318391001064,17138,7,133
89,1450,Chicago/State,Red Line,1,0,170310711001003,22312,342,50
90,330,Grand/State,Red Line,1,0,170318390003000,2581,0,21
91,800,Sedgwick,"Brown, Purple (Express)",1,0,170318138013010,7674,114,84
92,1010,Rockwell,Brown Line,1,0,170312827002016,7621,47,67
93,920,Pulaski-Congress,Blue Line (Congress),0,0,170318382002002,13661,46,109
94,180,Oak Park-Congress,Blue Line,0,0,170310818002019,12164,0,132
95,980,Harlem-Congress,Blue Line (Congress),0,0,170318330002006,5887,0,3
96,960,Pulaski-Midway,Orange Line,1,1,170318447003009,9789,68,111
97,250,Kedzie-Homan,Blue Line (Congress),1,0,170318431002017,7156,56,111
98,390,Forest Park,Blue Line,1,1,170313108001003,7908,134,78
99,1090,Monroe/State,Red Line,0,0,170312518004001,11078,22,58
100,750,Harlem-O'Hare,Blue Line (O'Hare),1,1,170316809002002,556,0,141
101,610,Ridgeland,Green Line (Lake),0,0,170316306001014,7434,60,107
102,700,Laramie,Green Line (Lake),1,0,170318319001014,7872,85,134
103,1360,California-Lake,Green Line (Lake),1,0,170318308001006,8327,54,16
104,670,Western/Milwaukee,Blue Line (O'Hare),1,0,170311408005002,10738,62,13
105,1240,Addison-O'Hare,Blue Line,1,0,170311407021001,7504,102,63
106,510,Garfield-South Elevated,Green Line,1,1,170312602001010,9861,6,119
107,310,Western-Midway,Orange Line,1,1,170312520001009,8040,116,118
108,120,35th/Archer,Orange Line,1,1,170312804001032,23522,208,3
109,1030,Polk,Pink,1,0,170318125002015,2545,0,2
110,440,California-Douglas,Pink,1,0,170312608002013,10176,100,93
111,1040,Kedzie-Douglas,Pink,1,0,170318424002020,20446,131,24
112,580,54th/Cermak,Pink,1,1,170318412002020,7673,133,80
113,350,UIC-Halsted,Blue Line,1,0,170310312003001,11049,60,41
114,430,Clinton-Congress,Blue Line,0,0,170310105032004,2998,76,38
115,1340,LaSalle,Blue Line,0,0,170310402013016,7198,140,92
116,540,Wilson,"Purple, Red Line",1,0,170318127003008,9576,43,1
117,660,Armitage,"Brown, Purple (Express)",1,0,170318131001017,6235,22,68
118,280,Central-Lake,Green Line (Lake),1,0,170318307004002,40553,372,116
119,30,Pulaski-Lake,Green Line (Lake),1,0,170316912002025,4911,12,24
120,1250,Central-Evanston,"Purple Line, Evanston Express",0,0,170310305003012,10097,101,131
121,520,Foster,"Purple Line, Evanston Express",0,0,170312609002003,6349,63,93
122,1670,Conservatory-Central Park,Green Line (Lake),1,0,170312205003003,2285,0,71
123,80,Sheridan,Red Line,0,0,170312435002046,1700,0,5
124,1420,Addison-North Main,Red Line,1,0,170312214002000,9506,294,8
125,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",1,0,170310308001000,9169,7,131
126,70,Jackson/Dearborn,Blue Line,1,0,170310817002029,5974,49,132
127,630,Clark/Division,Red Line,1,0,170318407003007,6834,35,110
128,1050,Linden,"Purple Line, Evanston Express",1,1,170313405001005,8730,9,26
129,840,South Boulevard,"Purple Line, Evanston Express",0,0,170318419001018,1862,0,114
130,1190,Jarvis,Red Line,0,0,170318126004003,9222,57,101
131,1380,Bryn Mawr,Red Line,0,0,170312602001014,8571,19,119
132,460,Merchandise Mart,"Brown, Purple (Express)",1,0,170310812012002,2604,0,89
133,730,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",1,0,170318326002000,24699,329,117
134,360,Southport,Brown Line,1,0,170316708002020,5112,10,31
135,680,Adams/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",0,0,170316115002011,5372,50,107
136,560,Jackson/State,Red Line,1,0,170318308003001,12362,20,17
137,820,Rosemont,Blue Line,1,1,170310816001005,5958,0,90
138,20,Harlem-Lake,Green Line (Lake),1,0,170312106013007,7698,89,9
139,320,Division/Milwaukee,Blue Line,0,0,170312924002010,6414,73,82
140,450,95th/Dan Ryan,Red Line,1,0,170312924002026,7431,22,82
141,910,63rd-Dan Ryan,Red Line,1,0,170312520004011,9381,128,2
142,1170,Garfield-Dan Ryan,Red Line,1,0,170316810004015,33474,0,30
143,1400,Roosevelt/State,Red Line,1,0,170318417001006,16656,40,111
,,,,,,170314207005001,20356,9,29
,,,,,,170313406001007,20062,0,26
,,,,,,170310301011003,24105,15,48
,,,,,,170312420003005,4980,85,139
,,,,,,170310406001006,5353,38,16
,,,,,,170311407011004,34610,0,62
,,,,,,170310104003013,2067,0,38
,,,,,,170313109003009,8254,135,79
,,,,,,170318391002028,12081,17,70
,,,,,,170318319001016,12348,142,134
,,,,,,170310506002015,7935,90,14
,,,,,,170318127003002,9464,32,1
,,,,,,170318423002014,4149,0,6
,,,,,,170313201022011,6606,164,88
,,,,,,170310623001006,5167,49,134
,,,,,,170310816001001,5862,0,90
,,,,,,170311601001020,15711,65,10
,,,,,,170318095001018,11757,59,52
,,,,,,170316306002006,9417,16,107
,,,,,,170318326003004,12138,78,117
,,,,,,170312514004020,14461,0,2
,,,,,,170313812002006,4408,6,32
,,,,,,170314003001006,15629,15,106
,,,,,,170312222002009,7565,68,104
,,,,,,170313109002001,10338,123,79
,,,,,,170318324002001,6547,177,104
,,,,,,170310630002012,7468,133,44
,,,,,,170310106004006,9396,213,43
,,,,,,170311006004008,5124,0,100
,,,,,,170312213002002,6819,73,8
,,,,,,170310501002009,6450,0,64
,,,,,,170318314002030,7207,191,68
,,,,,,170310817001005,7697,122,11
,,,,,,170313206002005,9997,62,21
,,,,,,170312106011002,10075,91,9
,,,,,,170310818001012,7059,289,11
,,,,,,170310629001000,10200,247,36
,,,,,,170310603002018,5101,0,14
,,,,,,170310506002014,6313,37,14
,,,,,,170312420003002,4864,86,139
,,,,,,170311601002017,20427,94,10
,,,,,,170310301031003,6236,125,47
,,,,,,170310105031008,7869,98,38
,,,,,,170312222002011,6518,46,104
,,,,,,170312924002021,6299,0,82
,,,,,,170310815002009,9835,0,90
,,,,,,170312924002007,11889,90,82
,,,,,,170318391001075,8484,0,59
,,,,,,170312213001006,5566,41,8
,,,,,,170318324002000,4146,0,104
,,,,,,170312713001014,6861,22,97
,,,,,,170318422001004,5198,0,37
,,,,,,170318412002014,27997,0,80
,,,,,,170318319002014,7900,0,15
,,,,,,170318324002014,9227,113,104
,,,,,,170318314001001,6848,43,69
,,,,,,170313802001015,5683,97,55
,,,,,,170313301033009,8347,37,87
,,,,,,170310105031002,5129,89,38
,,,,,,170311610001014,11933,46,57
,,,,,,170310408001001,5120,52,12
,,,,,,170310804001004,7937,137,91
,,,,,,170318308003004,10528,94,17
,,,,,,170312804001008,10175,0,3
,,,,,,170318093001010,8938,26,39
,,,,,,170316115002008,15838,180,107
,,,,,,170310625001000,20445,177,15
,,,,,,170318098002001,14091,57,53
,,,,,,170318407003004,12917,61,110
,,,,,,170310630001010,10101,35,49
,,,,,,170310317004000,11814,145,116
,,,,,,170310105022005,7558,214,43
,,,,,,170318123013007,13565,84,1
,,,,,,170318373002008,5129,0,97
,,,,,,170318422001002,5209,0,37
,,,,,,170310818001038,6865,0,132
,,,,,,170318391001040,8084,0,133
,,,,,,170318391001078,8577,10,133
,,,,,,170318391001065,8831,0,133
,,,,,,170318410001022,13441,0,87
,,,,,,170318160001032,10370,91,95
,,,,,,170318346001069,16396,0,141
,,,,,,170318093002020,6292,85,121
,,,,,,170310301022000,11697,607,47
,,,,,,170318373001007,5431,36,97
,,,,,,170318321002006,8459,100,123
,,,,,,170311610001000,15690,77,57
,,,,,,170310817002034,2083,36,132
,,,,,,170318419001035,12252,0,114
,,,,,,170314906001016,5893,2,140
,,,,,,170318447001002,1258,0,81
,,,,,,170313201021034,9574,0,19
,,,,,,170313109003010,12400,149,79
,,,,,,170318371002027,7930,85,103
,,,,,,170318087021004,10855,178,121
,,,,,,170318412002015,12157,13,80
,,,,,,170310311001009,8504,30,61
,,,,,,170310302002006,5559,20,47
,,,,,,170318446001000,13576,62,55
,,,,,,170312608002007,10287,66,93
,,,,,,170310602002005,26892,92,64
,,,,,,170318093002012,9400,98,121
,,,,,,170311609001021,10303,49,105
,,,,,,170316306002004,4974,80,107
,,,,,,170312435002045,1618,0,5
,,,,,,170312804001016,19121,0,3
,,,,,,170314004001006,7636,101,106
,,,,,,170318100001007,14057,316,46
,,,,,,170310407002005,7719,85,92
,,,,,,170310307031002,19330,0,41
,,,,,,170318138013007,8999,155,84
,,,,,,170318138013009,7648,80,84
,,,,,,170318126001001,4104,65,2
,,,,,,170311603002000,17251,80,57
,,,,,,170312924002006,11840,122,82
,,,,,,170314403005001,26225,391,24
,,,,,,170318391001073,5555,0,59
,,,,,,170314207001000,21159,15,28
,,,,,,170316903002018,2595,0,72
,,,,,,170318391002032,1490,0,115
,,,,,,170312516003012,8422,16,102
,,,,,,170310312002004,20546,730,35
,,,,,,170318410001013,2363,0,87
,,,,,,170310802021000,12681,102,127
,,,,,,170310406001015,4194,20,16
,,,,,,170312925002007,5067,21,82
,,,,,,170318390002007,2642,0,143
,,,,,,170313806003012,12126,17,56
,,,,,,170313814001008,13498,126,32
,,,,,,170310816001007,5921,0,90
,,,,,,170318308003002,12471,197,17
,,,,,,170312414001004,11791,96,7
,,,,,,170312435002036,2645,0,5
,,,,,,170316711001005,14452,52,31
,,,,,,170312924002025,6177,13,82
,,,,,,170313206002004,7994,184,21
,,,,,,170310817002020,1416,0,132
,,,,,,170318391001096,8391,0,60
,,,,,,170312421001001,6018,28,139
,,,,,,170310817002027,10857,0,90
,,,,,,170310624001016,7563,116,134
,,,,,,170318422001003,12711,0,37
,,,,,,170318094012005,22902,170,52
,,,,,,170318391002007,3028,38,60
,,,,,,170312435002018,10274,133,6
,,,,,,170312925002003,8852,46,82
,,,,,,170318391002022,6365,0,115
,,,,,,170318390001001,5886,879,115
,,,,,,170318391001023,15076,329,132
,,,,,,170318100001009,7556,0,46
,,,,,,170310105013005,7843,83,43
,,,,,,170318126004002,16862,119,101
,,,,,,170312106012004,10139,85,9
,,,,,,170318138013001,10442,8,84
,,,,,,170313201022007,9753,0,88
,,,,,,170310103004006,10839,203,130
,,,,,,170310103004011,11636,75,130
,,,,,,170315703002012,6038,45,96
,,,,,,170318319001013,7989,89,134
,,,,,,170318100002013,16168,71,129
,,,,,,170318095002016,4892,0,52
,,,,,,170318371001017,13243,19,42
,,,,,,170318391001090,17223,3,126
,,,,,,170318319001015,12536,139,134
,,,,,,170318373002007,7616,299,97
,,,,,,170310816001004,5824,0,90
,,,,,,170310811002001,19383,694,89
,,,,,,170318355002011,1607,0,25
,,,,,,170316903001010,13255,110,72
,,,,,,170311408005021,4310,40,13
,,,,,,170311003002010,30810,91,100
,,,,,,170310105011001,15195,236,43
,,,,,,170310407002001,5124,39,92
,,,,,,170310623001005,4995,33,134
,,,,,,170318074003019,7452,88,86
,,,,,,170310711002000,12551,98,50
,,,,,,170310629001007,10190,125,49
,,,,,,170312522023013,4474,28,69
,,,,,,170310301032005,5492,290,47
,,,,,,170318434001023,4631,36,83
,,,,,,170318330001015,4377,46,85
