ORIG_FID,STATION_ID,LONGNAME,LINES,ADA,PKNRD,GEOID20,ALAND20,POP20,NEAR_FID
,,,,,,170310308001002,10160,66,131
,,,,,,170312420003004,5076,109,139
,,,,,,170318094021021,15682,0,52
,,,,,,170310804003006,6971,86,91
,,,,,,170310317001001,13686,139,35
,,,,,,170310106004002,9467,160,43
,,,,,,170318434001022,4717,48,83
,,,,,,170310623001011,4972,62,134
,,,,,,170318391001061,8514,34,133
,,,,,,170310802021001,24251,548,127
,,,,,,170318404001007,10250,40,76
,,,,,,170316912002026,5073,21,24
,,,,,,170318123013012,3056,0,1
,,,,,,170318331001015,13678,0,113
,,,,,,170318391001095,22677,27,18
,,,,,,170318131001006,4301,30,68
,,,,,,170316203005013,13951,45,74
,,,,,,170310818001009,5525,399,11
,,,,,,170312518003002,11853,0,58
,,,,,,170311402002011,5150,80,62
,,,,,,170310407002002,7730,76,92
,,,,,,170312607002007,10311,58,93
,,,,,,170318423002003,20976,128,6
,,,,,,170312420003001,9357,119,139
,,,,,,170312222002003,15284,122,104
,,,,,,170312922002015,5797,0,81
,,,,,,170311407011007,9918,161,62
,,,,,,170313301033012,4975,162,87
,,,,,,170318410001023,11404,0,87
,,,,,,170318161001006,5120,0,95
,,,,,,170318355002007,6201,3,25
,,,,,,170318070002025,2380,37,51
,,,,,,170310804001005,6981,134,91
,,,,,,170311610001001,8574,0,57
,,,,,,170310105012005,13910,261,43
,,,,,,170310817002018,10889,24,90
,,,,,,170318447003007,8692,14,111
,,,,,,170310302002011,5627,0,48
,,,,,,170310602001003,26221,107,17
,,,,,,170312514004001,17423,168,118
,,,,,,170318402001031,6037,38,77
,,,,,,170318093003022,7974,105,121
,,,,,,170318419001017,2765,0,114
,,,,,,170312206021004,17868,191,71
,,,,,,170314403005007,12184,41,24
,,,,,,170310106004011,9472,91,43
,,,,,,170310622001010,10145,139,36
,,,,,,170318125002010,8733,6,2
,,,,,,170310703002001,9592,362,50
,,,,,,170310307011002,15086,230,131
,,,,,,170310621002002,7490,194,124
,,,,,,170318132001009,4624,32,94
,,,,,,170313201021017,4854,0,19
,,,,,,170310703001003,12598,58,44
,,,,,,170318404001008,8501,0,76
,,,,,,170313006001000,9888,44,81
,,,,,,170310703001011,6678,209,50
,,,,,,170318402001021,7720,0,77
,,,,,,170318132004012,5680,44,94
,,,,,,170315905001017,20522,206,108
,,,,,,170318127001007,9423,33,101
,,,,,,170313818002000,4177,0,73
,,,,,,170318137022000,5902,11,84
,,,,,,170318330002029,6237,0,3
,,,,,,170316810004000,7971,0,30
,,,,,,170318419001026,42924,547,113
,,,,,,170312518004000,23610,4,58
,,,,,,170310402013014,5130,0,92
,,,,,,170316903002002,19425,0,72
,,,,,,170318307002004,6115,0,35
,,,,,,170311408001001,7720,80,63
,,,,,,170312801001014,11114,0,4
,,,,,,170318319002006,9333,75,14
,,,,,,170311408004001,5110,106,63
,,,,,,170311407011008,7409,119,63
,,,,,,170318383002009,3752,0,11
,,,,,,170312610002001,4965,27,93
,,,,,,170318131001003,25507,123,68
,,,,,,170316203006017,7459,41,74
,,,,,,170311609001019,10218,104,105
,,,,,,170318358001022,10427,0,32
,,,,,,170310105021006,9088,148,38
,,,,,,170318073001013,10567,304,51
,,,,,,170318391001051,8424,0,133
,,,,,,170318125003022,16440,0,101
,,,,,,170318422001037,7367,13,37
,,,,,,170318013001003,16448,55,128
,,,,,,170318160001033,14836,40,95
,,,,,,170312922002012,15981,80,81
,,,,,,170318403003021,5138,59,108
,,,,,,170318095003016,4045,0,53
,,,,,,170312435002025,10924,4,6
,,,,,,170318330001001,1534,0,5
,,,,,,170312435002006,1028,0,6
,,,,,,170315905001019,6839,55,108
,,,,,,170310105032002,9983,87,38
,,,,,,170311609001020,10285,39,105
,,,,,,170310105032001,8582,62,38
,,,,,,170310818002016,1731,0,132
,,,,,,170312414001009,7247,29,7
,,,,,,170318319001000,9815,79,134
,,,,,,170318346001060,3572,0,141
,,,,,,170312213001010,4221,25,8
,,,,,,170312514004024,2768,0,118
,,,,,,170314207001001,20043,93,28
,,,,,,170318100001005,13309,194,46
,,,,,,170310102022007,10811,347,130
,,,,,,170318382002006,41415,0,109
,,,,,,170318320001006,12719,222,124
,,,,,,170310506001012,13823,79,64
,,,,,,170310603001002,5372,59,64
,,,,,,170310711001014,20253,238,117
,,,,,,170318391001013,1260,0,132
,,,,,,170318391001067,8752,0,133
,,,,,,170318320001004,7589,121,124
,,,,,,170310630003005,7619,114,49
,,,,,,170314003001017,8476,0,106
,,,,,,170311604002006,7476,85,57
,,,,,,170311402003012,5129,94,62
,,,,,,170318432002056,1586,0,76
,,,,,,170311610001005,8632,74,57
,,,,,,170313204001026,3081,263,136
,,,,,,170314403001014,16574,25,23
,,,,,,170312515004012,8148,69,118
,,,,,,170310302001013,5526,93,47
,,,,,,170318412002016,5175,22,80
,,,,,,170314208001009,7526,115,28
,,,,,,170310308004002,10150,53,41
,,,,,,170310818001017,5287,0,11
,,,,,,170312416002014,5025,66,139
,,,,,,170318391001071,5941,0,59
,,,,,,170310408002003,4445,12,92
,,,,,,170310624001008,5179,44,134
,,,,,,170310407003002,7746,107,92
,,,,,,170318412002018,7921,116,80
,,,,,,170312106011004,10177,52,9
,,,,,,170312925003028,13115,138,83
,,,,,,170318308001004,9986,86,16
,,,,,,170312922002010,11503,183,81
,,,,,,170310105021000,6928,212,38
,,,,,,170318326001000,25394,247,37
,,,,,,170310815002001,12341,521,89
,,,,,,170312925003016,8726,63,83
,,,,,,170314204001011,27281,196,28
,,,,,,170312435002041,9328,64,5
,,,,,,170310106001003,9726,227,43
,,,,,,170310311002005,6825,169,35
,,,,,,170318330001009,6267,0,85
,,,,,,170310312002000,22420,475,61
,,,,,,170313301033013,7749,15,87
,,,,,,170311603002001,9516,99,57
,,,,,,170310818001007,11327,3,11
,,,,,,170310407001003,7746,105,12
,,,,,,170312518002005,7474,118,102
,,,,,,170312518003003,11961,0,58
,,,,,,170318447002003,7661,13,81
,,,,,,170312206021001,6104,112,71
,,,,,,170310818001016,8562,0,11
,,,,,,170310624001003,5173,0,15
,,,,,,170318381001010,22228,0,66
,,,,,,170310803002000,25641,1035,127
,,,,,,170312520004005,6648,41,2
,,,,,,170318412002004,21373,0,80
,,,,,,170312804001034,21566,0,3
,,,,,,170313806002008,12231,64,55
,,,,,,170312403001011,9618,17,7
,,,,,,170318102001002,5087,59,129
,,,,,,170318371002008,8595,8,103
,,,,,,170318319002004,6900,51,14
,,,,,,170310710002007,20321,266,117
,,,,,,170312522023016,8521,19,69
,,,,,,170318358001003,11948,38,55
,,,,,,170315905001003,16634,16,108
,,,,,,170318307004006,5781,91,116
,,,,,,170310105031006,4360,81,38
,,,,,,170318127003000,8503,42,1
,,,,,,170312516003015,8419,98,102
,,,,,,170313206002019,3668,0,33
,,,,,,170318132001000,9007,0,94
,,,,,,170311402002008,16344,42,62
,,,,,,170318094012016,11861,90,53
,,,,,,170318095003001,11924,39,53
,,,,,,170318101003000,11618,56,129
,,,,,,170318125003009,11287,52,101
,,,,,,170318074003022,15093,35,86
,,,,,,170316306002005,9054,16,107
,,,,,,170318330001014,12282,0,85
,,,,,,170310610001010,20044,339,124
,,,,,,170313204001038,3103,0,135
,,,,,,170318407003005,9280,12,110
,,,,,,170310103004007,6177,58,130
,,,,,,170318355002014,9662,53,25
,,,,,,170312435002039,7206,181,5
,,,,,,170310630001006,8666,81,36
,,,,,,170313818002002,10407,5,73
,,,,,,170318391001052,9123,520,133
,,,,,,170310803003006,7840,28,91
,,,,,,170311609002027,9954,32,105
,,,,,,170312518003001,4894,0,58
,,,,,,170318346001058,6126,0,141
,,,,,,170318132001016,10338,50,94
,,,,,,170310301023002,14574,314,47
,,,,,,170318321002007,8826,223,123
,,,,,,170310105021005,6984,257,38
,,,,,,170314004001003,16794,2,106
,,,,,,170311407011005,11102,209,62
,,,,,,170312801002002,9711,356,4
,,,,,,170318346001056,4936,0,141
,,,,,,170316203006016,3352,60,74
,,,,,,170318412002027,5573,0,80
,,,,,,170318407003006,11138,102,110
,,,,,,170310630002002,7026,164,49
,,,,,,170312206021009,10750,146,71
,,,,,,170313108003001,7917,145,78
,,,,,,170318358001002,10219,34,55
,,,,,,170310603001003,5338,91,64
,,,,,,170318137022006,5823,50,84
,,,,,,170311408004002,9464,165,63
,,,,,,170311105022008,20612,112,22
,,,,,,170310603001013,4878,24,64
,,,,,,170313206001008,13639,526,33
,,,,,,170318123012010,14363,75,138
,,,,,,170313301021004,11615,213,33
,,,,,,170310815003007,8239,939,90
,,,,,,170312415003003,13306,106,7
,,,,,,170312827002003,14613,0,67
,,,,,,170310817002031,1430,0,132
,,,,,,170318138023003,7602,81,112
,,,,,,170310610001008,7867,42,124
,,,,,,170318013001013,12464,41,128
,,,,,,170318368001019,5234,76,122
,,,,,,170310818001010,5135,0,11
,,,,,,170312222002012,7513,168,104
,,,,,,170316708002019,7779,50,31
,,,,,,170315905001011,19327,22,108
,,,,,,170318391002019,8722,0,60
,,,,,,170314206002005,7651,106,29
,,,,,,170314206002004,7486,82,29
,,,,,,170318138022002,10373,74,112
,,,,,,170318391001056,8509,12,54
,,,,,,170316203006019,10259,75,74
,,,,,,170312609002004,10392,83,93
,,,,,,170310629001004,7570,114,49
,,,,,,170318330001038,1191,0,85
,,,,,,170312414001001,8297,77,7
,,,,,,170312106013004,7716,121,9
,,,,,,170318132001004,4699,65,94
,,,,,,170313206002000,13283,309,21
,,,,,,170318391002042,4839,117,21
,,,,,,170312206022003,4178,111,71
,,,,,,170318447002014,6006,76,81
,,,,,,170312922001006,14580,96,81
,,,,,,170318381002031,55720,0,66
,,,,,,170312924002013,5443,9,82
,,,,,,170312520004006,9247,37,2
,,,,,,170318100003018,8504,54,129
,,,,,,170310615001004,7473,121,134
,,,,,,170318381001013,2602,0,66
,,,,,,170318128011001,11077,86,138
,,,,,,170313109002008,10379,73,79
,,,,,,170312205003010,6160,83,71
,,,,,,170310311002004,8551,0,35
,,,,,,170313108002007,15312,0,78
,,,,,,170310307011003,19438,274,131
,,,,,,170315703002013,4706,0,96
,,,,,,170318314001003,6257,1,69
,,,,,,170314003001018,6431,0,106
,,,,,,170318094012015,13305,101,53
,,,,,,170316809002009,2588,0,141
,,,,,,170310307033001,15031,241,131
,,,,,,170318138012008,5362,17,84
,,,,,,170310816002001,5430,21,89
,,,,,,170310501002024,6078,121,64
,,,,,,170310810001001,16693,428,127
,,,,,,170310301032004,7686,169,47
,,,,,,170318308001003,6461,90,16
,,,,,,170318101003016,2245,0,129
,,,,,,170313814001007,13722,71,32
,,,,,,170318330001006,6722,21,85
,,,,,,170318137021002,10265,168,84
,,,,,,170318095003014,8192,55,53
,,,,,,170318093003023,12981,173,121
,,,,,,170310306012000,17729,377,48
,,,,,,170318402001032,5904,106,77
,,,,,,170316203005011,7744,55,74
,,,,,,170316203005010,7737,52,74
,,,,,,170318308001011,7770,75,16
,,,,,,170316903002006,13353,49,72
,,,,,,170314902002018,9893,35,140
,,,,,,170312518004002,10993,55,58
,,,,,,170312801002007,9136,125,4
,,,,,,170310818001023,6896,406,11
,,,,,,170318131001016,5906,33,68
,,,,,,170316711001002,5857,0,31
,,,,,,170310817002026,11003,0,90
,,,,,,170318307004000,12218,139,116
,,,,,,170318391001017,9042,0,19
,,,,,,170312801001015,17053,0,4
,,,,,,170312514004005,2480,31,2
,,,,,,170310810002007,9001,771,89
,,,,,,170312607002008,10253,94,93
,,,,,,170310810006002,1097,18,127
,,,,,,170310501002018,6471,29,64
,,,,,,170315703002016,4491,11,96
,,,,,,170313108002000,5799,73,78
,,,,,,170310501002022,7574,66,64
,,,,,,170310717002006,659,0,91
,,,,,,170312206024003,2638,24,71
,,,,,,170318131001005,4143,32,68
,,,,,,170318368001015,13663,46,122
,,,,,,170312827002005,14823,143,67
,,,,,,170318329002006,36819,212,65
,,,,,,170318391001091,19232,12,126
,,,,,,170316903002000,21971,0,72
,,,,,,170318013001004,16618,86,128
,,,,,,170312610002000,10273,82,93
,,,,,,170318093002010,7099,73,121
,,,,,,170318419001016,2125,0,114
,,,,,,170310101002010,29549,136,40
,,,,,,170318422001036,7325,41,37
,,,,,,170318319002010,11684,169,15
,,,,,,170318102001005,8555,72,129
,,,,,,170318428004017,45422,0,107
,,,,,,170318373002004,7581,59,97
,,,,,,170313108001001,15242,55,78
,,,,,,170318355002023,3409,0,25
,,,,,,170312924002028,5525,8,82
,,,,,,170313108003002,10252,182,78
,,,,,,170318391001076,8451,0,59
,,,,,,170316912002028,5098,0,24
,,,,,,170314906001002,1489,0,140
,,,,,,170311407012006,7703,174,62
,,,,,,170312519002006,6929,61,102
,,,,,,170316711001007,10151,46,31
,,,,,,170318123012014,6250,0,138
,,,,,,170310804003005,6981,104,91
,,,,,,170312808001013,16608,98,67
,,,,,,170310407002003,7752,75,92
,,,,,,170310106001021,2498,0,43
,,,,,,170310815001002,9981,621,89
,,,,,,170318374001003,9881,80,103
,,,,,,170313201022009,19447,3,88
,,,,,,170313818002004,14907,74,73
,,,,,,170318319002016,12436,184,15
,,,,,,170316712001009,11261,4,31
,,,,,,170316913002012,12672,0,24
,,,,,,170318368001016,4382,50,122
,,,,,,170318371002005,25365,14,103
,,,,,,170318390001000,21086,469,115
,,,,,,170312435002007,4636,26,6
,,,,,,170312421001002,6003,43,139
,,,,,,170310501002016,6125,0,64
,,,,,,170310106002006,2052,25,43
,,,,,,170318013002012,9477,71,128
,,,,,,170312106013000,5113,31,9
,,,,,,170318131001015,5544,43,68
,,,,,,170310406003003,11724,43,12
,,,,,,170310404012008,5283,37,12
,,,,,,170313514001003,19198,7,45
,,,,,,170310625001012,4239,56,15
,,,,,,170318391001072,7733,236,99
,,,,,,170312602001003,10430,28,119
,,,,,,170310625001003,10007,123,15
,,,,,,170318160001027,5585,0,95
,,,,,,170318330002032,2914,0,3
,,,,,,170312827002002,11058,0,67
,,,,,,170318329002001,12823,0,65
,,,,,,170310105031001,6995,65,38
,,,,,,170318346001055,5424,0,141
,,,,,,170312203002018,6111,30,8
,,,,,,170318382002008,26669,0,109
,,,,,,170310102021001,17193,0,40
,,,,,,170311602004004,1585,14,10
,,,,,,170310718002002,5385,0,37
,,,,,,170310816002002,11674,861,89
,,,,,,170310818001001,10730,43,11
,,,,,,170313109001014,12170,83,79
,,,,,,170310623001010,5033,60,134
,,,,,,170318340002008,10043,43,140
,,,,,,170310312003002,20771,30,61
,,,,,,170318369001001,11132,106,42
,,,,,,170310106004000,3026,0,43
,,,,,,170313108002006,12732,210,78
,,,,,,170318131001018,6647,32,68
,,,,,,170318391001069,11976,27,59
,,,,,,170311005001008,16113,57,100
,,,,,,170310704001002,9672,119,44
,,,,,,170312206021007,2516,52,71
,,,,,,170312403001012,10851,87,7
,,,,,,170310621002003,6783,121,124
,,,,,,170310715004007,9292,134,91
,,,,,,170310301031001,8760,20,47
,,,,,,170312522023018,4709,14,69
,,,,,,170318330002030,12468,0,3
,,,,,,170318094021012,19735,0,52
,,,,,,170310818001015,6570,22,11
,,,,,,170318423002017,8189,72,6
,,,,,,170318161001018,5771,12,95
,,,,,,170310302002013,5196,79,48
,,,,,,170318391001019,17201,11,125
,,,,,,170310802023004,12645,392,127
,,,,,,170312106013001,5127,60,9
,,,,,,170311407012009,7649,109,62
,,,,,,170318013002006,11107,17,128
,,,,,,170318125002009,13908,252,2
,,,,,,170310406002013,4191,73,12
,,,,,,170318423002038,6894,10,5
,,,,,,170312216002020,8584,76,104
,,,,,,170311407011012,7704,107,63
,,,,,,170310506001001,6420,65,64
,,,,,,170313108001008,8008,125,78
,,,,,,170318380002023,6173,72,67
,,,,,,170313515002002,5828,87,26
,,,,,,170310811003000,9230,513,127
,,,,,,170310815001000,12399,23,89
,,,,,,170310703001010,5889,33,50
,,,,,,170318371001009,11155,48,42
,,,,,,170310804003001,6112,38,91
,,,,,,170310810006001,9872,300,127
,,,,,,170318419001010,16582,0,113
,,,,,,170312925003021,7727,68,83
,,,,,,170312435002020,2901,50,6
,,,,,,170316306001015,5840,85,107
,,,,,,170312206024002,4317,102,71
,,,,,,170310804001006,7880,104,91
,,,,,,170310810001002,1851,0,127
,,,,,,170310407001009,7452,96,12
,,,,,,170312522025010,5262,3,69
,,,,,,170313201022008,10514,485,88
,,,,,,170313206002014,7986,564,33
,,,,,,170314003001020,15651,0,106
,,,,,,170318093002016,9707,59,121
,,,,,,170310623001007,5358,75,134
,,,,,,170318013002018,12441,28,128
,,,,,,170318123012011,6516,0,138
,,,,,,170318321002001,11092,148,123
,,,,,,170318311002000,8331,92,105
,,,,,,170318013001002,15719,65,128
,,,,,,170310625001002,10158,89,15
,,,,,,170318123012009,21144,379,138
,,,,,,170310615001008,7476,84,134
,,,,,,170318346001070,6096,0,141
,,,,,,170310603001011,4838,53,64
,,,,,,170314004001007,6908,78,106
,,,,,,170318100002009,10096,0,129
,,,,,,170318095002001,13492,301,52
,,,,,,170313109003011,10294,114,79
,,,,,,170315703002015,4667,22,96
,,,,,,170310818002012,9190,290,132
,,,,,,170313301021006,12039,0,143
,,,,,,170318319001001,10598,109,134
,,,,,,170312516003013,8368,58,102
,,,,,,170310506001006,5448,52,64
,,,,,,170318320001013,8663,176,124
,,,,,,170318330001033,1230,0,85
,,,,,,170310408001005,7097,47,12
,,,,,,170311610002001,8587,37,57
,,,,,,170318100001008,8790,0,46
,,,,,,170312106022002,4183,64,9
,,,,,,170313515002003,10470,84,45
,,,,,,170310103002005,3941,71,130
,,,,,,170311003002011,4986,20,100
,,,,,,170312514004027,5147,0,118
,,,,,,170312607002015,5619,74,93
,,,,,,170314004001002,8410,7,106
,,,,,,170311609002015,10599,46,105
,,,,,,170312801001004,5827,0,4
,,,,,,170312435001000,4864,0,6
,,,,,,170312414001013,5271,78,7
,,,,,,170312421001000,6081,137,139
,,,,,,170318330002067,5005,0,85
,,,,,,170318326002006,4589,58,117
,,,,,,170312214002006,7524,54,8
,,,,,,170318093002019,5681,36,121
,,,,,,170314406002007,10238,49,23
,,,,,,170318319002017,8041,97,15
,,,,,,170318319002015,8135,61,15
,,,,,,170312435001003,4065,0,6
,,,,,,170318320001002,11626,234,124
,,,,,,170318319001007,7994,89,15
,,,,,,170318314001027,7618,38,69
,,,,,,170310818002008,10722,287,132
,,,,,,170318073004000,8288,34,51
,,,,,,170311407012000,5154,0,62
,,,,,,170318447001009,16806,94,81
,,,,,,170310818002011,11278,259,132
,,,,,,170318391001012,1160,0,132
,,,,,,170310812012007,7298,181,89
,,,,,,170310630001003,6589,111,36
,,,,,,170312434001002,2234,0,6
,,,,,,170310629001006,5292,38,49
,,,,,,170310103004005,15425,270,130
,,,,,,170310711002010,12686,134,117
,,,,,,170310621003005,7832,0,36
,,,,,,170314004001001,4921,0,106
,,,,,,170318138013003,1388,0,84
,,,,,,170310622001011,10248,136,36
,,,,,,170310818001019,6891,0,11
,,,,,,170310407003007,5647,36,92
,,,,,,170310406002015,4870,46,12
,,,,,,170318346001045,3559,3,141
,,,,,,170311609001028,1337,0,105
,,,,,,170316711001008,10190,47,31
,,,,,,170310812012009,10529,14,89
,,,,,,170318077001000,11421,0,86
,,,,,,170318412002022,4628,18,80
,,,,,,170318093003024,11404,247,121
,,,,,,170318402001027,25707,47,77
,,,,,,170312924002011,6437,34,82
,,,,,,170312517001043,4322,20,58
,,,,,,170311105022029,10100,0,22
,,,,,,170313206002003,8127,19,21
,,,,,,170318391002044,1101,7,21
,,,,,,170318391002029,1401,0,70
,,,,,,170318074003023,5200,58,86
,,,,,,170312801002014,7540,225,4
,,,,,,170318123012005,21972,105,138
,,,,,,170310507001006,5873,25,14
,,,,,,170312214001010,7698,114,8
,,,,,,170314206002006,7613,71,29
,,,,,,170312205003002,10294,100,71
,,,,,,170313012001002,13044,111,110
,,,,,,170313405001006,14342,0,26
,,,,,,170318307002001,11349,134,35
,,,,,,170316712001007,6403,24,31
,,,,,,170312206022000,4005,58,71
,,,,,,170310306031002,15181,189,131
,,,,,,170313514001004,13471,4,45
,,,,,,170310103002010,8630,188,130
,,,,,,170318129002021,5971,0,94
,,,,,,170313301033008,9237,92,87
,,,,,,170318161001010,4481,12,95
,,,,,,170312205002001,4140,0,71
,,,,,,170310102021008,4246,26,40
,,,,,,170310301042000,12389,615,47
,,,,,,170310818001037,4275,219,132
,,,,,,170312413001000,5680,60,7
,,,,,,170310624001007,7649,97,134
,,,,,,170312435002024,2077,7,6
,,,,,,170310103002015,9289,118,130
,,,,,,170318370002000,10382,129,103
,,,,,,170316115002005,10288,12,107
,,,,,,170312403001013,20517,151,7
,,,,,,170318319002001,10244,83,15
,,,,,,170310817002028,4307,32,132
,,,,,,170318434001021,4658,30,83
,,,,,,170318132001003,5385,31,94
,,,,,,170313108001000,5757,41,78
,,,,,,170310406001014,4042,32,16
,,,,,,170318391001080,8494,0,133
,,,,,,170310623001015,5372,67,134
,,,,,,170318391001093,5034,0,126
,,,,,,170311408005024,8151,54,13
,,,,,,170310817002023,1347,0,132
,,,,,,170312205002003,4899,17,71
,,,,,,170318073002000,16825,0,86
,,,,,,170311408005010,7780,127,13
,,,,,,170318391001074,9761,18,59
,,,,,,170318138013004,1403,0,84
,,,,,,170318371002025,7703,16,103
,,,,,,170318391002035,12829,0,115
,,,,,,170318073001005,12457,153,51
,,,,,,170310812011002,9659,316,89
,,,,,,170313206001007,13804,1306,33
,,,,,,170314003001021,27407,286,106
,,,,,,170318307003005,14579,334,116
,,,,,,170314207005000,20181,96,29
,,,,,,170310506001011,6167,9,64
,,,,,,170316913002013,13551,38,24
,,,,,,170318159001007,5783,28,138
,,,,,,170312804001007,10170,0,3
,,,,,,170318137021001,10165,193,84
,,,,,,170310810005003,1828,0,11
,,,,,,170310711001006,4748,60,50
,,,,,,170316708002024,5090,0,31
,,,,,,170313201021033,9703,283,20
,,,,,,170318419001020,13945,0,114
,,,,,,170310802022003,5576,82,127
,,,,,,170318132001010,4499,44,94
,,,,,,170310103004003,11089,137,130
,,,,,,170310815002002,9935,621,89
,,,,,,170318368001009,8545,0,122
,,,,,,170318330001016,8025,20,85
,,,,,,170318371002013,8173,44,103
,,,,,,170315905001018,8133,71,108
,,,,,,170313206002002,10014,170,21
,,,,,,170318391001087,8581,28,60
,,,,,,170310506001019,5699,72,64
,,,,,,170312415003002,12796,119,7
,,,,,,170318093002009,6560,49,121
,,,,,,170318125003011,11837,33,101
,,,,,,170312520004012,9384,96,2
,,,,,,170312205002004,2431,0,71
,,,,,,170310105031007,7919,69,38
,,,,,,170310301031004,5541,254,47
,,,,,,170313201021015,1312,0,19
,,,,,,170318132001001,13413,0,94
,,,,,,170311407011013,7666,140,63
,,,,,,170313201021032,5861,0,88
,,,,,,170318100002010,15571,247,129
,,,,,,170312518003007,9766,72,58
,,,,,,170318340002007,4187,0,140
,,,,,,170318077001005,4807,47,86
,,,,,,170318320001014,8810,141,124
,,,,,,170311408005016,4014,35,13
,,,,,,170318307004007,4760,84,116
,,,,,,170312106012005,10133,57,9
,,,,,,170312924002027,7468,67,82
,,,,,,170318101001008,4909,0,46
,,,,,,170318326002005,4208,38,117
,,,,,,170312608002006,10208,122,93
,,,,,,170312519003007,8379,101,118
,,,,,,170312516002005,8427,42,102
,,,,,,170310816001000,11723,424,90
,,,,,,170316708002013,7649,24,31
,,,,,,170318326001006,7270,0,37
,,,,,,170313302002007,2532,0,143
,,,,,,170312514004006,13114,65,2
,,,,,,170318434001002,1966,0,82
,,,,,,170316708002010,4924,18,31
,,,,,,170316708002016,5173,34,31
,,,,,,170318132001017,10341,51,94
,,,,,,170318419001022,2244,0,114
,,,,,,170310409001009,7037,76,12
,,,,,,170318358001007,12206,125,55
,,,,,,170318161001021,7659,46,95
,,,,,,170318391002018,17333,0,60
,,,,,,170318391002045,4300,0,70
,,,,,,170310817002009,10874,189,90
,,,,,,170311407011003,8523,117,63
,,,,,,170310105022004,7295,98,43
,,,,,,170311408005029,9960,41,13
,,,,,,170318132001011,4921,56,94
,,,,,,170312520004002,13292,186,2
,,,,,,170318126004010,9353,38,101
,,,,,,170311601002020,4432,0,10
,,,,,,170312106013008,7735,76,9
,,,,,,170318412002013,4837,13,80
,,,,,,170318423002015,9605,54,6
,,,,,,170318159001003,8231,17,138
,,,,,,170312518003006,12586,102,58
,,,,,,170318094021013,8043,74,52
,,,,,,170310802023003,22584,783,127
,,,,,,170313301033018,8829,11,87
,,,,,,170312414001011,7903,122,7
,,,,,,170318330001013,12327,23,85
,,,,,,170318330001036,13590,78,85
,,,,,,170318101001004,10466,81,46
,,,,,,170310105013007,7429,160,43
,,,,,,170318391002021,15823,1067,60
,,,,,,170318094021019,11290,0,52
,,,,,,170316203005012,7927,57,74
,,,,,,170318073004023,10263,32,51
,,,,,,170318129002020,4943,61,94
,,,,,,170310501002017,7181,0,64
,,,,,,170318324002013,10231,105,104
,,,,,,170318391002008,17051,0,60
,,,,,,170312435002005,9515,0,6
,,,,,,170312514004000,18219,11,118
,,,,,,170310621003001,5452,105,36
,,,,,,170310615001010,5207,8,134
,,,,,,170310307033003,23544,327,41
,,,,,,170318074003024,5266,9,86
,,,,,,170318420002008,23958,20,45
,,,,,,170312222002002,7573,65,104
,,,,,,170310615001015,11598,82,134
,,,,,,170311105022011,3196,0,22
,,,,,,170310711002012,7801,66,117
,,,,,,170310715004005,8046,80,91
,,,,,,170311408001003,5000,50,63
,,,,,,170318138023000,2463,0,112
,,,,,,170318128011000,11990,161,138
,,,,,,170316707002011,15213,24,31
,,,,,,170310630001001,7722,135,36
,,,,,,170318391001062,8705,0,133
,,,,,,170318329002010,8091,141,65
,,,,,,170310506001008,5664,36,64
,,,,,,170318419001021,2233,19,114
,,,,,,170310802023002,3634,143,127
,,,,,,170312924002005,11813,6,82
,,,,,,170313201022006,1819,0,88
,,,,,,170310308004001,10036,79,41
,,,,,,170312206021005,4425,56,71
,,,,,,170312924002015,8475,50,82
,,,,,,170318093001001,24508,0,120
,,,,,,170318161001001,4715,0,95
,,,,,,170314406002002,15814,34,23
,,,,,,170318410001016,3076,18,87
,,,,,,170318447002010,18894,82,81
,,,,,,170310703002003,16186,214,50
,,,,,,170310711002003,4778,24,50
,,,,,,170313109002005,10406,158,79
,,,,,,170318330002027,9303,0,3
,,,,,,170318391001054,8470,0,133
,,,,,,170310615001011,7596,75,134
,,,,,,170310630001008,11144,171,36
,,,,,,170312214001013,15869,179,8
,,,,,,170313806002007,26882,170,55
,,,,,,170316306001000,9860,41,107
,,,,,,170312520004004,6426,67,2
,,,,,,170318160003008,6279,29,98
,,,,,,170310106001002,2012,0,43
,,,,,,170318412002017,7934,117,80
,,,,,,170312214002001,8682,54,8
,,,,,,170318307004005,4997,113,116
,,,,,,170318161001005,5140,36,95
,,,,,,170318126004001,8115,113,101
,,,,,,170311105022004,5137,51,22
,,,,,,170318355002031,9917,8,25
,,,,,,170318324002010,10143,94,104
,,,,,,170318407003020,7799,69,110
,,,,,,170318314001002,12870,44,69
,,,,,,170310501001004,12560,114,17
,,,,,,170318371002015,21149,0,103
,,,,,,170318410001015,1026,0,87
,,,,,,170318407001003,13554,162,110
,,,,,,170318128011002,11807,86,138
,,,,,,170318417001019,5393,1,111
,,,,,,170318308001012,8878,126,16
,,,,,,170312421001007,7034,145,139
,,,,,,170310622001000,6748,40,124
,,,,,,170318073001006,5246,52,51
,,,,,,170318098001000,12554,140,53
,,,,,,170318098002003,4898,37,53
,,,,,,170318329002003,12971,0,65
,,,,,,170318161001000,5666,0,95
,,,,,,170311402002007,7743,214,62
,,,,,,170310704002004,6353,94,50
,,,,,,170318383002007,4768,24,11
,,,,,,170311408005013,7773,100,63
,,,,,,170318319002008,7228,44,15
,,,,,,170312434001001,1506,0,6
,,,,,,170314906001014,4192,0,140
