GEOID8,NEAR_DIST,POPDENS,GEOID8,CHITRACT
17031150502,50067.91297,2390.146973,17031150502,1
17031110502,48298.59458,1914.160645,17031110502,1
17031150402,47858.26618,2232.072754,17031150402,1
17031140302,42126.14926,3778.838623,17031140302,1
17031140301,41093.0138,6333.420898,17031140301,1
17031700302,59457.34297,1656.146484,17031700302,1
17031580501,29879.00645,4055.173828,17031580501,1
17031580502,31367.27492,4172.943359,17031580502,1
17031730201,57097.51045,2174.561768,17031730201,1
17031301802,30387.56512,3777.085449,17031301802,1
17031440101,49086.0863,4270.482422,17031440101,1
17031301701,28892.49826,4993.436523,17031301701,1
17031804509,152900.3125,1076.761475,17031804509,
17031804511,148295.7822,1022.650574,17031804511,
17031804609,125859.9597,615.2324829,17031804609,
17031804608,132837.6307,572.7572632,17031804608,
17031806202,90942.44775,1601.884522,17031806202,
17031839100,1436.911331,2884.740967,17031839100,1
17031833100,8084.72281,3970.795898,17031833100,1
17031838100,12065.46045,857.1313477,17031838100,1
17031833300,8124.799047,2354.832031,17031833300,1
17031838200,13603.519,561.5874634,17031838200,1
17031140702,37851.79592,5002.42334,17031140702,1
17031140602,39442.57256,5062.245606,17031140602,1
17031140701,38708.16949,4706.492188,17031140701,1
17031160502,35529.59485,4097.308594,17031160502,1
17031160602,33624.48383,2354.330811,17031160602,1
17031151002,39326.21785,2779.510742,17031151002,1
17031151001,40940.71081,3312.396484,17031151001,1
17031190402,43601.87862,3124.688721,17031190402,1
17031431301,50259.23593,3429.837158,17031431301,1
17031431302,48353.18721,3839.535889,17031431302,1
17031460302,52725.18561,1952.511597,17031460302,1
17031460301,55227.06487,2374.286377,17031460301,1
17031700501,52319.91724,1597.298706,17031700501,1
17031700502,54729.96699,667.1669922,17031700502,1
17031210601,30708.63729,3832.479981,17031210601,1
17031812302,47670.68546,1527.7323,17031812302,
17031812802,46182.01343,2624.738281,17031812802,
17031812801,47607.99123,4119.360352,17031812801,
17031812301,46601.1802,3183.871826,17031812301,
17031813802,36580.17506,3274.684815,17031813802,
17031813701,35860.09596,2247.077393,17031813701,
17031820603,74972.08459,796.5043945,17031820603,
17031841100,11446.88189,2541.216797,17031841100,1
17031840200,14788.88782,1166.377686,17031840200,1
17031841300,20441.72753,1197.280396,17031841300,1
17031840700,21004.75094,2779.921875,17031840700,1
17031841700,23346.2353,2183.235107,17031841700,1
17031190602,42369.70554,3340.942627,17031190602,1
17031190401,45969.39738,2546.931641,17031190401,1
17031190702,39746.34756,4984.372559,17031190702,1
17031191302,41343.39132,3021.047607,17031191302,1
17031190601,44796.4417,2451.259033,17031190601,1
17031191301,43837.34087,2981.657715,17031191301,1
17031200402,31006.4085,4189.774902,17031200402,1
17031200401,32968.17972,3586.753174,17031200401,1
17031220902,29653.56915,3457.947754,17031220902,1
17031210501,32771.80426,4383.057129,17031210501,1
17031160601,34956.55245,3977.319092,17031160601,1
17031061901,22763.17973,8728.673828,17031061901,1
17031840800,26385.13539,3913.094482,17031840800,1
17031030703,36286.33096,5985.929688,17031030703,1
17031081403,6105.946478,11468.53027,17031081403,1
17031030702,36783.24025,40380.35938,17031030702,1
17031440102,51871.66611,2234.780273,17031440102,1
17031440202,51589.37969,1740.633911,17031440202,1
17031824113,120589.0393,318.7981262,17031824113,
17031825304,122224.5624,648.2132568,17031825304,
17031830008,150658.2293,141.644165,17031830008,
17031803012,138038.7133,586.3285522,17031803012,
17031802607,114445.4518,319.5743103,17031802607,
17031830500,32339.19215,444.7089539,17031830500,1
17031840100,14939.79684,3511.557129,17031840100,1
17031840400,20620.43263,1330.316895,17031840400,1
17031839200,14614.83334,1630.361084,17031839200,1
17031835500,23923.45502,668.9437866,17031835500,1
17031804404,177574.1066,640.972168,17031804404,
17031804804,142300.9627,542.6462402,17031804804,
17031070101,17748.75276,3025.024902,17031070101,1
17031110501,50370.35911,2333.72876,17031110501,1
17031030104,42731.83289,12290.92578,17031030104,1
17031081401,5245.652893,3435.494629,17031081401,1
17031430102,44770.7648,2638.583984,17031430102,
17031770902,65223.18863,1239.026733,17031770902,
17031824121,118962.572,696.3895874,17031824121,
17031430101,43370.19674,4827.90625,17031430101,1
17031804109,131730.2788,501.818512,17031804109,
17031804611,129723.0544,702.3154297,17031804611,
17031824004,113190.5524,91.3476868,17031824004,
17031824006,121645.2401,129.0152283,17031824006,
17031252101,38737.91084,700.6731567,17031252101,1
17031010501,47508.37927,8031.919434,17031010501,1
17031020701,43503.02704,1226.410034,17031020701,1
17031010201,50918.6852,5309.504883,17031010201,1
17031760801,69749.72287,1307.28894,17031760801,1
17031839000,4089.418125,8289.551758,17031839000,1
17031440201,48951.50103,3670.767334,17031440201,1
17031540101,84765.46192,497.1439819,17031540101,1
17031802004,91895.22686,2112.104736,17031802004,
17031802003,93301.53977,603.9421997,17031802003,
17031803013,133470.5772,1063.855225,17031803013,
17031802608,118325.237,593.0823364,17031802608,
17031803015,122333.4387,540.6780396,17031803015,
17031803014,119094.7078,1120.886108,17031803014,
17031834000,56305.31084,1439.969482,17031834000,1
17031833900,58834.5891,1328.515137,17031833900,1
17031221000,27785.5359,4266.026856,17031221000,1
17031221100,26662.27083,3894.719238,17031221100,1
17031242800,17521.83963,1323.16272,17031242800,1
17031242900,15886.164,2338.750977,17031242900,1
17031243000,14602.7635,2657.008057,17031243000,1
17031243100,13328.93098,2679.331055,17031243100,1
17031243200,12069.75236,2725.897705,17031243200,1
17031243300,10822.76824,2868.804932,17031243300,1
17031243400,9604.487929,3385.243164,17031243400,1
17031071400,14677.01446,2990.029297,17031071400,1
17031110400,51558.02653,1868.893189,17031110400,1
17031150600,46323.82773,2283.560791,17031150600,1
17031150700,44111.50117,2580.924316,17031150700,1
17031150800,41943.06271,2862.953125,17031150800,1
17031151100,42626.37911,3002.272949,17031151100,1
17031151200,44905.1175,2284.497559,17031151200,1
17031241500,15239.78662,3769.738037,17031241500,1
17031241100,19132.7895,4170.223145,17031241100,1
17031241600,13684.19805,4640.966797,17031241600,1
17031241300,17138.77271,4347.307617,17031241300,1
17031241400,15687.57616,3924.565918,17031241400,1
17031243500,7835.918791,2784.182617,17031243500,1
17031250200,35400.81358,2148.808838,17031250200,1
17031250300,37991.73224,2957.615479,17031250300,1
17031250400,41797.37217,1707.950195,17031250400,1
17031250500,47582.27794,1369.623657,17031250500,1
17031071500,12032.76657,2706.712891,17031071500,1
17031071800,12917.97542,3165.636963,17031071800,1
17031080100,9349.318008,9289.151367,17031080100,1
17031080300,9588.7187,5871.619629,17031080300,1
17031080400,9977.507021,5389.404297,17031080400,1
17031160100,43493.58907,1589.175781,17031160100,1
17031160200,41164.079,1322.317017,17031160200,1
17031160300,39302.60077,3413.677002,17031160300,1
17031160400,37788.24438,2850.376953,17031160400,1
17031160700,32148.42666,2875.947998,17031160700,1
17031221300,24293.76744,3580.483643,17031221300,1
17031221500,22314.31467,3682.725342,17031221500,1
17031221400,23086.63145,3680.259766,17031221400,1
17031250600,39896.92138,2504.547119,17031250600,1
17031250700,37303.07214,3457.179199,17031250700,1
17031250800,34869.30025,1633.433106,17031250800,1
17031251000,32518.51439,888.6295166,17031251000,1
17031251100,34419.65538,3473.926025,17031251100,1
17031051400,24419.09433,2777.820557,17031051400,1
17031060100,29535.36271,3355.542236,17031060100,1
17031060300,27722.44563,3712.292725,17031060300,1
17031060800,26585.31601,11261.6123,17031060800,1
17031160800,34024.46235,2933.05127,17031160800,1
17031819200,60773.33522,959.2997437,17031819200,
17031815600,55176.92297,663.6422119,17031815600,
17031818000,63672.16963,485.6893921,17031818000,
17031812000,52451.12501,767.3805542,17031812000,
17031829402,146074.6077,219.4710693,17031829402,
17031320101,3086.644575,7900.250488,17031320101,1
17031829904,127973.5231,144.1360931,17031829904,
17031804204,176532.8285,32.8471985,17031804204,
17031804316,164516.3596,597.5907593,17031804316,
17031804514,169821.2842,271.1213379,17031804514,
17031330103,9333.287018,6246.694824,17031330103,1
17031380600,22537.79768,1816.131714,17031380600,1
17031330102,6750.956292,10359.37402,17031330102,1
17031330101,9207.26116,941.3529053,17031330101,1
17031460800,57042.81057,2055.890137,17031460800,1
17031806005,84561.96289,2151.366943,17031806005,
17031806006,86293.79467,2881.935303,17031806006,
17031804203,163418.2193,89.6558151,17031804203,
17031803614,139523.058,2341.65332,17031803614,
17031803616,148297.7991,593.8193359,17031803616,
17031809402,62678.38146,3828.815674,17031809402,
17031828508,133621.7791,260.9115295,17031828508,
17031828507,130534.487,339.4919739,17031828507,
17031824126,127335.7286,702.1663818,17031824126,
17031824508,106612.0111,394.6315308,17031824508,
17031824509,103638.9693,549.3694458,17031824509,
17031824127,127723.7865,465.8808289,17031824127,
17031824125,122213.3321,835.8973999,17031824125,
17031824124,119976.9099,717.9835815,17031824124,
17031824129,126509.1549,236.0754852,17031824129,
17031824128,130858.2337,214.1536255,17031824128,
17031829903,123707.2456,693.4473877,17031829903,
17031804313,179117.5304,628.5601196,17031804313,
17031804312,168085.3773,105.3355637,17031804312,
17031820203,91927.55329,252.8425751,17031820203,
17031820204,84692.92282,243.1496735,17031820204,
17031630600,33811.26297,1138.045044,17031630600,1
17031490200,57283.13257,1348.093628,17031490200,1
17031612200,28890.72686,1693.006958,17031612200,1
17031844700,25040.64348,2249.614258,17031844700,1
17031844600,24974.34288,1577.137695,17031844600,1
17031803613,141265.2475,1680.901978,17031803613,
17031803615,152647.4098,789.4135742,17031803615,
17031804314,166741.1221,99.3352203,17031804314,
17031804512,169124.3585,414.9631958,17031804512,
17031804315,160590.2104,888.3790894,17031804315,
17031804513,169071.454,313.7608948,17031804513,
17031320102,1496.766699,4123.418945,17031320102,1
17031809401,59903.94669,1583.651856,17031809401,
17031220701,30239.56139,4231.15332,17031220701,1
17031063302,19551.23436,14577.03418,17031063302,1
17031252201,33960.13967,2933.995117,17031252201,1
17031660302,40687.91444,4354.926758,17031660302,1
17031660301,41848.00636,4360.063965,17031660301,1
17031730202,56941.30211,1279.601563,17031730202,1
17031813302,32677.35152,2300.89917,17031813302,
17031813702,33819.96718,4324.846191,17031813702,
17031813301,35281.36503,2164.961426,17031813301,
17031802403,129620.8087,1052.52417,17031802403,
17031803016,130759.8816,933.3504028,17031803016,
17031803701,144265.1246,703.293396,17031803701,
17031804108,134869.0313,1524.955566,17031804108,
17031804715,140997.9701,1557.529541,17031804715,
17031835600,29203.53866,377.7941284,17031835600,1
17031840000,18623.36606,2034.419067,17031840000,1
17031836400,23761.21755,1749.06958,17031836400,1
17031836100,30014.64158,849.1837769,17031836100,1
17031834600,34540.98509,582.3772583,17031834600,1
17031843600,27847.48888,2901.845947,17031843600,1
17031061902,23074.39349,6514.443848,17031061902,
17031030102,41315.82397,10630.07129,17031030102,1
17031030103,42005.93693,9374.75,17031030103,
17031030706,36416.31779,2884.993897,17031030706,1
